Date,Open,Close,High,Low
2021-01-04,6460.52,6571.88,6662.66,6460.52
2021-01-05,6571.88,6612.25,6622.77,6544.25
2021-01-06,6612.25,6841.86,6859.14,6611.87
2021-01-07,6841.86,6856.96,6903.61,6795.11
2021-01-08,6856.96,6873.26,6886.34,6836.08
2021-01-11,6873.26,6798.48,6873.26,6768.72
2021-01-12,6798.48,6754.11,6816.65,6738.21
2021-01-13,6754.11,6745.52,6772.57,6736.01
2021-01-14,6745.52,6801.96,6801.96,6736.78
2021-01-15,6801.96,6735.71,6802.05,6676.55
2021-01-18,6735.71,6720.65,6741.47,6709.33
2021-01-19,6720.65,6712.95,6770.66,6697.67
2021-01-20,6712.95,6740.39,6751.81,6697.46
2021-01-21,6740.39,6715.42,6776.92,6715.42
2021-01-22,6715.42,6695.07,6715.66,6651.71
2021-01-25,6695.07,6638.85,6714.61,6610.26
2021-01-26,6638.85,6654.01,6702.35,6636.34
2021-01-27,6654.01,6567.37,6661.31,6505.84
2021-01-28,6567.37,6526.15,6567.37,6439.55
2021-01-29,6526.15,6407.46,6526.15,6397.24
2021-02-01,6407.46,6466.42,6495.56,6407.46
2021-02-02,6466.42,6516.65,6523.51,6466.42
2021-02-03,6516.65,6507.82,6573.1,6489.51
2021-02-04,6507.82,6503.72,6553.37,6478.15
2021-02-05,6503.72,6489.33,6518.65,6457.6
2021-02-08,6489.33,6523.53,6567.7,6489.33
2021-02-09,6523.53,6531.56,6540.97,6501.02
2021-02-10,6531.56,6524.36,6577,6481.02
2021-02-11,6524.36,6528.72,6554.15,6514.92
2021-02-12,6528.72,6589.79,6589.79,6485.13
2021-02-15,6589.79,6756.11,6775.37,6589.79
2021-02-16,6756.11,6748.86,6799.92,6736.85
2021-02-17,6748.86,6710.9,6760.29,6701.59
2021-02-18,6710.9,6617.15,6721.76,6591.43
2021-02-19,6617.15,6624.02,6646.16,6600.59
2021-02-22,6624.02,6612.24,6624.71,6545.93
2021-02-23,6612.24,6625.94,6675.42,6555.88
2021-02-24,6625.94,6658.97,6669.86,6572.28
2021-02-25,6658.97,6651.96,6702.88,6644.68
2021-02-26,6651.96,6483.43,6651.96,6465.57
2021-03-01,6483.43,6588.53,6612.74,6483.43
2021-03-02,6588.53,6613.75,6660.82,6560.91
2021-03-03,6613.75,6675.47,6705.3,6613.75
2021-03-04,6675.47,6650.88,6675.47,6581.19
2021-03-05,6650.88,6630.52,6710.8,6560.79
2021-03-08,6630.52,6719.13,6726.4,6612.74
2021-03-09,6719.13,6730.34,6786.8,6689.9
2021-03-10,6730.34,6725.6,6740.72,6677.02
2021-03-11,6725.6,6736.96,6755.32,6699.34
2021-03-12,6736.96,6761.47,6766.44,6709
2021-03-15,6761.47,6749.7,6804.91,6723.67
2021-03-16,6749.7,6803.61,6812.78,6749.64
2021-03-17,6803.61,6762.67,6805.73,6753.82
2021-03-18,6762.67,6779.68,6791.76,6740.53
2021-03-19,6779.68,6708.71,6779.68,6664.56
2021-03-22,6762.67,6726.1,6779.88,6650.96
2021-03-23,6726.1,6699.19,6726.1,6664.76
2021-03-24,6699.19,6712.89,6722.61,6649.37
2021-03-25,6712.89,6674.83,6729.92,6618.61
2021-03-26,6674.83,6740.59,6742.14,6674.83
2021-03-29,6740.59,6736.17,6758.78,6705.42
2021-03-30,6736.17,6772.12,6792.23,6729.46
2021-03-31,6772.12,6713.63,6775.67,6713.63
2021-04-01,6713.63,6737.3,6766.52,6713.63
2021-04-06,6737.3,6823.55,6843.73,6737.3
2021-04-07,6823.55,6885.32,6898.38,6823.55
2021-04-08,6885.32,6942.22,6942.22,6884.79
2021-04-09,6942.22,6915.75,6949.56,6906.37
